case_id,variant,mode,draw,message,gold,candidates,expected,prompt,output_raw,output_norm,matched,in_list,correct,latency_ms,tokens
P0,exact,enum,0,Hvor er pakken min? Den skulle komme i går.,sporing,sporing|leveringstid|bestillingsstatus|retur,sporing,"Candidate intents:
sporing: Brukeren vil vite hvor pakken eller forsendelsen er, sporingsnummer eller om pakken er sendt
leveringstid: Brukeren spør når bestillingen kommer, hvor lang tid levering tar, leveringsdato eller leveringsvindu
bestillingsstatus: Brukeren spør om status, bekreftelse eller behandlingstid på en bestilling/ordre (ikke hvor pakken er)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
User message: Hvor er pakken min? Den skulle komme i går.

Answer with exactly one intent name from the list above.",sporing,sporing,True,True,True,2927.6,5
P0,exact,free,1,Hvor er pakken min? Den skulle komme i går.,sporing,sporing|leveringstid|bestillingsstatus|retur,sporing,"Candidate intents:
sporing: Brukeren vil vite hvor pakken eller forsendelsen er, sporingsnummer eller om pakken er sendt
leveringstid: Brukeren spør når bestillingen kommer, hvor lang tid levering tar, leveringsdato eller leveringsvindu
bestillingsstatus: Brukeren spør om status, bekreftelse eller behandlingstid på en bestilling/ordre (ikke hvor pakken er)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
User message: Hvor er pakken min? Den skulle komme i går.

Answer with exactly one intent name from the list above.",sporing,sporing,True,True,True,2960.8,3
P0,exact,free,2,Hvor er pakken min? Den skulle komme i går.,sporing,sporing|leveringstid|bestillingsstatus|retur,sporing,"Candidate intents:
sporing: Brukeren vil vite hvor pakken eller forsendelsen er, sporingsnummer eller om pakken er sendt
leveringstid: Brukeren spør når bestillingen kommer, hvor lang tid levering tar, leveringsdato eller leveringsvindu
bestillingsstatus: Brukeren spør om status, bekreftelse eller behandlingstid på en bestilling/ordre (ikke hvor pakken er)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
User message: Hvor er pakken min? Den skulle komme i går.

Answer with exactly one intent name from the list above.",sporing,sporing,True,True,True,2993.4,3
P0,exact,enum,2,Hvor er pakken min? Den skulle komme i går.,sporing,sporing|leveringstid|bestillingsstatus|retur,sporing,"Candidate intents:
sporing: Brukeren vil vite hvor pakken eller forsendelsen er, sporingsnummer eller om pakken er sendt
leveringstid: Brukeren spør når bestillingen kommer, hvor lang tid levering tar, leveringsdato eller leveringsvindu
bestillingsstatus: Brukeren spør om status, bekreftelse eller behandlingstid på en bestilling/ordre (ikke hvor pakken er)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
User message: Hvor er pakken min? Den skulle komme i går.

Answer with exactly one intent name from the list above.",sporing,sporing,True,True,True,3068.9,5
P0,exact,enum,1,Hvor er pakken min? Den skulle komme i går.,sporing,sporing|leveringstid|bestillingsstatus|retur,sporing,"Candidate intents:
sporing: Brukeren vil vite hvor pakken eller forsendelsen er, sporingsnummer eller om pakken er sendt
leveringstid: Brukeren spør når bestillingen kommer, hvor lang tid levering tar, leveringsdato eller leveringsvindu
bestillingsstatus: Brukeren spør om status, bekreftelse eller behandlingstid på en bestilling/ordre (ikke hvor pakken er)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
User message: Hvor er pakken min? Den skulle komme i går.

Answer with exactly one intent name from the list above.",sporing,sporing,True,True,True,3146.7,5
P0,exact,free,0,Hvor er pakken min? Den skulle komme i går.,sporing,sporing|leveringstid|bestillingsstatus|retur,sporing,"Candidate intents:
sporing: Brukeren vil vite hvor pakken eller forsendelsen er, sporingsnummer eller om pakken er sendt
leveringstid: Brukeren spør når bestillingen kommer, hvor lang tid levering tar, leveringsdato eller leveringsvindu
bestillingsstatus: Brukeren spør om status, bekreftelse eller behandlingstid på en bestilling/ordre (ikke hvor pakken er)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
User message: Hvor er pakken min? Den skulle komme i går.

Answer with exactly one intent name from the list above.",sporing,sporing,True,True,True,3181.1,3
P1,exact,free,0,"Jeg vil ha pengene tilbake, varen var ødelagt.",refusjon,refusjon|retur|defekt_vare|garanti,refusjon,"Candidate intents:
refusjon: Brukeren vil ha pengene tilbake for et kjøp, få refundert eller reversert en betaling – også når varen var defekt eller feil (ikke avbestilling)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
defekt_vare: Brukeren mottok en ødelagt, skadet eller defekt vare, eller det manglet deler i pakken
garanti: Brukeren spør om garanti: om varen er dekket, hva garantien dekker, garantitid eller garantireparasjon
User message: Jeg vil ha pengene tilbake, varen var ødelagt.

Answer with exactly one intent name from the list above.",refusjon,refusjon,True,True,True,319.1,4
P1,exact,free,1,"Jeg vil ha pengene tilbake, varen var ødelagt.",refusjon,refusjon|retur|defekt_vare|garanti,refusjon,"Candidate intents:
refusjon: Brukeren vil ha pengene tilbake for et kjøp, få refundert eller reversert en betaling – også når varen var defekt eller feil (ikke avbestilling)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
defekt_vare: Brukeren mottok en ødelagt, skadet eller defekt vare, eller det manglet deler i pakken
garanti: Brukeren spør om garanti: om varen er dekket, hva garantien dekker, garantitid eller garantireparasjon
User message: Jeg vil ha pengene tilbake, varen var ødelagt.

Answer with exactly one intent name from the list above.",refusjon,refusjon,True,True,True,329.2,4
P1,exact,free,2,"Jeg vil ha pengene tilbake, varen var ødelagt.",refusjon,refusjon|retur|defekt_vare|garanti,refusjon,"Candidate intents:
refusjon: Brukeren vil ha pengene tilbake for et kjøp, få refundert eller reversert en betaling – også når varen var defekt eller feil (ikke avbestilling)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
defekt_vare: Brukeren mottok en ødelagt, skadet eller defekt vare, eller det manglet deler i pakken
garanti: Brukeren spør om garanti: om varen er dekket, hva garantien dekker, garantitid eller garantireparasjon
User message: Jeg vil ha pengene tilbake, varen var ødelagt.

Answer with exactly one intent name from the list above.",refusjon,refusjon,True,True,True,340.4,4
P1,exact,enum,0,"Jeg vil ha pengene tilbake, varen var ødelagt.",refusjon,refusjon|retur|defekt_vare|garanti,refusjon,"Candidate intents:
refusjon: Brukeren vil ha pengene tilbake for et kjøp, få refundert eller reversert en betaling – også når varen var defekt eller feil (ikke avbestilling)
retur: Brukeren vil returnere eller bytte en vare, eller spør om returfrist, returlapp og returprosess
defekt_vare: Brukeren mottok en ødelagt, skadet eller defekt vare, eller det manglet deler i pakken
garanti: Brukeren spør om garanti: om varen er dekket, hva garantien dekker, garantitid eller garantireparasjon
User message: Jeg vil ha pengene tilbake, varen var ødelagt.

Answer with exactly one intent name from the list above.",refusjon,refusjon,True,True,True,351.3,6
